lr: [0.001]Epoch 1, Train Loss:7.29, Valid_Loss:5.27, Valid_Accuracy:3.75% 
lr: [0.0006606934480075958]Epoch 55, Train Loss:2.66, Valid_Loss:0.98, Valid_Accuracy:76.25% 
lr: [0.0006606934480075958]Epoch 56, Train Loss:3.80, Valid_Loss:0.30, Valid_Accuracy:79.38% 
lr: [0.0006456542290346553]Epoch 57, Train Loss:2.01, Valid_Loss:1.29, Valid_Accuracy:72.50% 
lr: [0.0006456542290346553]Epoch 58, Train Loss:3.03, Valid_Loss:2.09, Valid_Accuracy:76.88% 
lr: [0.0006456542290346553]Epoch 59, Train Loss:2.34, Valid_Loss:1.21, Valid_Accuracy:75.00% 
lr: [0.0006309573444801931]Epoch 60, Train Loss:2.98, Valid_Loss:0.98, Valid_Accuracy:76.25% 
lr: [0.0006309573444801931]Epoch 61, Train Loss:0.66, Valid_Loss:0.47, Valid_Accuracy:75.62% 
lr: [0.0006309573444801931]Epoch 62, Train Loss:0.25, Valid_Loss:1.21, Valid_Accuracy:80.62% 
lr: [0.000616595001861482]Epoch 63, Train Loss:2.39, Valid_Loss:1.80, Valid_Accuracy:76.88% 
lr: [0.000616595001861482]Epoch 64, Train Loss:4.04, Valid_Loss:1.39, Valid_Accuracy:78.75% 
lr: [0.000616595001861482]Epoch 65, Train Loss:5.76, Valid_Loss:1.03, Valid_Accuracy:82.50% 
lr: [0.0006025595860743577]Epoch 66, Train Loss:0.22, Valid_Loss:0.39, Valid_Accuracy:72.50% 
lr: [0.0006025595860743577]Epoch 67, Train Loss:0.04, Valid_Loss:0.53, Valid_Accuracy:81.88% 
lr: [0.0006025595860743577]Epoch 68, Train Loss:1.85, Valid_Loss:0.57, Valid_Accuracy:79.38% 
lr: [0.0005888436553555889]Epoch 69, Train Loss:1.47, Valid_Loss:0.97, Valid_Accuracy:81.88% 
lr: [0.0005888436553555889]Epoch 70, Train Loss:0.77, Valid_Loss:0.24, Valid_Accuracy:83.12% 
lr: [0.0005888436553555889]Epoch 71, Train Loss:0.21, Valid_Loss:1.38, Valid_Accuracy:80.00% 
lr: [0.0005754399373371569]Epoch 72, Train Loss:1.53, Valid_Loss:0.74, Valid_Accuracy:80.62% 
lr: [0.0005754399373371569]Epoch 73, Train Loss:10.40, Valid_Loss:0.66, Valid_Accuracy:83.12% 
lr: [0.0005754399373371569]Epoch 74, Train Loss:1.75, Valid_Loss:0.23, Valid_Accuracy:83.12% 
lr: [0.000562341325190349]Epoch 75, Train Loss:0.01, Valid_Loss:0.88, Valid_Accuracy:80.62% 
lr: [0.000562341325190349]Epoch 76, Train Loss:5.32, Valid_Loss:0.73, Valid_Accuracy:84.38% 
lr: [0.000562341325190349]Epoch 77, Train Loss:7.61, Valid_Loss:1.17, Valid_Accuracy:78.75% 
lr: [0.0005495408738576244]Epoch 78, Train Loss:6.83, Valid_Loss:0.86, Valid_Accuracy:78.12% 
lr: [0.0005495408738576244]Epoch 79, Train Loss:2.05, Valid_Loss:0.82, Valid_Accuracy:74.38% 
lr: [0.0005495408738576244]Epoch 80, Train Loss:6.48, Valid_Loss:0.49, Valid_Accuracy:75.00% 
