lr: [0.001]Epoch 1, Train Loss:4.06, Valid_Loss:3.77, Valid_Accuracy:11.34% 
lr: [0.0008511380382023764]Epoch 22, Train Loss:0.83, Valid_Loss:0.38, Valid_Accuracy:84.26% 
lr: [0.0008511380382023764]Epoch 23, Train Loss:0.11, Valid_Loss:0.95, Valid_Accuracy:84.95% 
lr: [0.0008317637711026709]Epoch 24, Train Loss:0.55, Valid_Loss:0.52, Valid_Accuracy:84.26% 
lr: [0.0008317637711026709]Epoch 25, Train Loss:0.02, Valid_Loss:0.83, Valid_Accuracy:85.42% 
lr: [0.0008317637711026709]Epoch 26, Train Loss:0.31, Valid_Loss:0.32, Valid_Accuracy:84.03% 
lr: [0.0008128305161640992]Epoch 27, Train Loss:0.03, Valid_Loss:0.33, Valid_Accuracy:81.94% 
lr: [0.0008128305161640992]Epoch 28, Train Loss:0.01, Valid_Loss:0.21, Valid_Accuracy:85.19% 
lr: [0.0008128305161640992]Epoch 29, Train Loss:1.78, Valid_Loss:0.65, Valid_Accuracy:84.49% 
lr: [0.0007943282347242814]Epoch 30, Train Loss:0.00, Valid_Loss:0.36, Valid_Accuracy:89.12% 
lr: [0.0007943282347242814]Epoch 31, Train Loss:0.62, Valid_Loss:0.14, Valid_Accuracy:87.73% 
lr: [0.0007943282347242814]Epoch 32, Train Loss:0.01, Valid_Loss:0.82, Valid_Accuracy:87.73% 
lr: [0.0007762471166286916]Epoch 33, Train Loss:0.56, Valid_Loss:0.50, Valid_Accuracy:85.42% 
lr: [0.0007762471166286916]Epoch 34, Train Loss:0.01, Valid_Loss:1.26, Valid_Accuracy:86.57% 
lr: [0.0007762471166286916]Epoch 35, Train Loss:0.21, Valid_Loss:0.91, Valid_Accuracy:84.26% 
lr: [0.0007585775750291836]Epoch 36, Train Loss:0.37, Valid_Loss:0.20, Valid_Accuracy:88.19% 
lr: [0.0007585775750291836]Epoch 37, Train Loss:0.00, Valid_Loss:0.07, Valid_Accuracy:89.12% 
lr: [0.0007585775750291836]Epoch 38, Train Loss:0.20, Valid_Loss:0.34, Valid_Accuracy:87.27% 
lr: [0.0007413102413009174]Epoch 39, Train Loss:0.01, Valid_Loss:0.88, Valid_Accuracy:88.66% 
lr: [0.0007413102413009174]Epoch 40, Train Loss:0.60, Valid_Loss:0.06, Valid_Accuracy:88.89% 
lr: [0.0007413102413009174]Epoch 41, Train Loss:0.25, Valid_Loss:0.36, Valid_Accuracy:90.28% 
lr: [0.0007244359600749899]Epoch 42, Train Loss:0.00, Valid_Loss:1.81, Valid_Accuracy:86.57% 
lr: [0.0007244359600749899]Epoch 43, Train Loss:0.18, Valid_Loss:0.55, Valid_Accuracy:87.04% 
lr: [0.0007244359600749899]Epoch 44, Train Loss:0.02, Valid_Loss:0.82, Valid_Accuracy:87.50% 
lr: [0.0007079457843841378]Epoch 45, Train Loss:0.12, Valid_Loss:0.94, Valid_Accuracy:88.19% 
lr: [0.0007079457843841378]Epoch 46, Train Loss:0.00, Valid_Loss:0.34, Valid_Accuracy:88.43% 
lr: [0.0007079457843841378]Epoch 47, Train Loss:0.06, Valid_Loss:0.26, Valid_Accuracy:89.12% 
lr: [0.0006918309709189363]Epoch 48, Train Loss:0.01, Valid_Loss:0.27, Valid_Accuracy:88.66% 
lr: [0.0006918309709189363]Epoch 49, Train Loss:0.06, Valid_Loss:0.23, Valid_Accuracy:86.34% 
lr: [0.0006918309709189363]Epoch 50, Train Loss:0.03, Valid_Loss:1.35, Valid_Accuracy:89.58% 
lr: [0.0006760829753919816]Epoch 51, Train Loss:0.20, Valid_Loss:0.29, Valid_Accuracy:90.51% 
lr: [0.0006760829753919816]Epoch 52, Train Loss:0.01, Valid_Loss:0.03, Valid_Accuracy:89.12% 
lr: [0.0006760829753919816]Epoch 53, Train Loss:0.02, Valid_Loss:0.71, Valid_Accuracy:91.67% 
lr: [0.0006606934480075958]Epoch 54, Train Loss:1.06, Valid_Loss:0.50, Valid_Accuracy:90.97% 
lr: [0.0006606934480075958]Epoch 55, Train Loss:0.00, Valid_Loss:0.68, Valid_Accuracy:91.20% 
lr: [0.0006606934480075958]Epoch 56, Train Loss:0.00, Valid_Loss:1.41, Valid_Accuracy:87.50% 
lr: [0.0006456542290346553]Epoch 57, Train Loss:0.04, Valid_Loss:0.63, Valid_Accuracy:89.35% 
lr: [0.0006456542290346553]Epoch 58, Train Loss:0.01, Valid_Loss:0.07, Valid_Accuracy:89.58% 
lr: [0.0006456542290346553]Epoch 59, Train Loss:0.00, Valid_Loss:0.22, Valid_Accuracy:91.20% 
lr: [0.0006309573444801931]Epoch 60, Train Loss:0.37, Valid_Loss:0.01, Valid_Accuracy:90.97% 
lr: [0.0006309573444801931]Epoch 61, Train Loss:0.17, Valid_Loss:0.23, Valid_Accuracy:93.29% 
lr: [0.0006309573444801931]Epoch 62, Train Loss:0.02, Valid_Loss:0.89, Valid_Accuracy:89.35% 
lr: [0.000616595001861482]Epoch 63, Train Loss:0.04, Valid_Loss:0.63, Valid_Accuracy:87.73% 
lr: [0.000616595001861482]Epoch 64, Train Loss:0.30, Valid_Loss:0.12, Valid_Accuracy:88.66% 
lr: [0.000616595001861482]Epoch 65, Train Loss:0.00, Valid_Loss:0.29, Valid_Accuracy:90.51% 
lr: [0.0006025595860743577]Epoch 66, Train Loss:0.11, Valid_Loss:0.30, Valid_Accuracy:90.74% 
lr: [0.0006025595860743577]Epoch 67, Train Loss:0.00, Valid_Loss:0.32, Valid_Accuracy:90.05% 
lr: [0.0006025595860743577]Epoch 68, Train Loss:0.01, Valid_Loss:0.57, Valid_Accuracy:93.06% 
lr: [0.0005888436553555889]Epoch 69, Train Loss:0.11, Valid_Loss:0.95, Valid_Accuracy:90.74% 
lr: [0.0005888436553555889]Epoch 70, Train Loss:0.00, Valid_Loss:0.00, Valid_Accuracy:90.74% 
lr: [0.0005888436553555889]Epoch 71, Train Loss:0.05, Valid_Loss:0.89, Valid_Accuracy:92.36% 
lr: [0.0005754399373371569]Epoch 72, Train Loss:0.20, Valid_Loss:0.36, Valid_Accuracy:91.67% 
lr: [0.0005754399373371569]Epoch 73, Train Loss:0.00, Valid_Loss:0.24, Valid_Accuracy:91.20% 
lr: [0.0005754399373371569]Epoch 74, Train Loss:0.11, Valid_Loss:0.39, Valid_Accuracy:90.97% 
