lr: 8.407609230768829e-07Epoch 54, Train Loss:5.59, Valid_Loss:5.72, Valid_Accuracy:75.84% 
lr: 8.561453846154794e-07Epoch 55, Train Loss:4.67, Valid_Loss:3.74, Valid_Accuracy:76.17% 
lr: 8.715298461538538e-07Epoch 56, Train Loss:2.78, Valid_Loss:6.28, Valid_Accuracy:76.01% 
lr: 8.869143076922283e-07Epoch 57, Train Loss:4.66, Valid_Loss:5.85, Valid_Accuracy:75.17% 
lr: 9.022987692308247e-07Epoch 58, Train Loss:2.99, Valid_Loss:7.30, Valid_Accuracy:75.00% 
lr: 9.176832307691992e-07Epoch 59, Train Loss:4.76, Valid_Loss:5.48, Valid_Accuracy:77.68% 
lr: 9.330676923077957e-07Epoch 60, Train Loss:5.05, Valid_Loss:8.38, Valid_Accuracy:74.50% 
lr: 9.484521538461701e-07Epoch 61, Train Loss:5.30, Valid_Loss:6.91, Valid_Accuracy:77.18% 
lr: 9.638366153845444e-07Epoch 62, Train Loss:4.98, Valid_Loss:3.66, Valid_Accuracy:76.68% 
lr: 9.792210769231409e-07Epoch 63, Train Loss:4.45, Valid_Loss:7.43, Valid_Accuracy:76.68% 
lr: 9.946055384615154e-07Epoch 64, Train Loss:2.63, Valid_Loss:3.79, Valid_Accuracy:76.34% 
lr: 1.0099899999998899e-06Epoch 65, Train Loss:8.01, Valid_Loss:5.58, Valid_Accuracy:77.35% 
lr: 1.0253744615384863e-06Epoch 66, Train Loss:5.96, Valid_Loss:7.42, Valid_Accuracy:76.85% 
lr: 1.0407589230768608e-06Epoch 67, Train Loss:3.82, Valid_Loss:4.06, Valid_Accuracy:79.87% 
lr: 1.0561433846154573e-06Epoch 68, Train Loss:3.56, Valid_Loss:7.47, Valid_Accuracy:77.85% 
lr: 1.0715278461538318e-06Epoch 69, Train Loss:5.21, Valid_Loss:4.76, Valid_Accuracy:76.68% 
lr: 1.0869123076922061e-06Epoch 70, Train Loss:4.16, Valid_Loss:5.98, Valid_Accuracy:78.02% 
lr: 1.1022967692308026e-06Epoch 71, Train Loss:4.62, Valid_Loss:7.10, Valid_Accuracy:79.36% 
lr: 1.117681230769177e-06Epoch 72, Train Loss:3.15, Valid_Loss:3.56, Valid_Accuracy:80.87% 
lr: 1.1330656923077735e-06Epoch 73, Train Loss:2.64, Valid_Loss:8.09, Valid_Accuracy:79.36% 
lr: 1.148450153846148e-06Epoch 74, Train Loss:6.10, Valid_Loss:7.31, Valid_Accuracy:79.36% 
lr: 1.1638346153845225e-06Epoch 75, Train Loss:3.81, Valid_Loss:6.45, Valid_Accuracy:80.20% 
lr: 1.179219076923119e-06Epoch 76, Train Loss:3.80, Valid_Loss:5.41, Valid_Accuracy:79.19% 
lr: 1.1946035384614935e-06Epoch 77, Train Loss:4.90, Valid_Loss:4.23, Valid_Accuracy:80.20% 
lr: 1.20998800000009e-06Epoch 78, Train Loss:2.51, Valid_Loss:6.10, Valid_Accuracy:81.38% 
lr: 1.2253724615384642e-06Epoch 79, Train Loss:7.38, Valid_Loss:6.15, Valid_Accuracy:81.54% 
lr: 1.2407569230768388e-06Epoch 80, Train Loss:4.71, Valid_Loss:5.66, Valid_Accuracy:80.03% 
lr: 1.2561413846154352e-06Epoch 81, Train Loss:5.14, Valid_Loss:4.40, Valid_Accuracy:78.69% 
lr: 1.2715258461538097e-06Epoch 82, Train Loss:3.70, Valid_Loss:8.29, Valid_Accuracy:80.54% 
lr: 1.2869103076924062e-06Epoch 83, Train Loss:6.18, Valid_Loss:4.98, Valid_Accuracy:80.87% 
lr: 1.3022947692307807e-06Epoch 84, Train Loss:5.56, Valid_Loss:4.33, Valid_Accuracy:80.20% 
lr: 1.317679230769155e-06Epoch 85, Train Loss:2.57, Valid_Loss:5.30, Valid_Accuracy:80.70% 
lr: 1.3330636923077516e-06Epoch 86, Train Loss:3.93, Valid_Loss:2.58, Valid_Accuracy:80.70% 
lr: 1.348448153846126e-06Epoch 87, Train Loss:5.86, Valid_Loss:8.32, Valid_Accuracy:82.05% 
lr: 1.3638326153847226e-06Epoch 88, Train Loss:3.48, Valid_Loss:2.84, Valid_Accuracy:83.22% 
lr: 1.379217076923097e-06Epoch 89, Train Loss:2.41, Valid_Loss:5.55, Valid_Accuracy:81.04% 
lr: 1.3946015384614714e-06Epoch 90, Train Loss:2.71, Valid_Loss:10.79, Valid_Accuracy:82.38% 
lr: 1.4099860000000679e-06Epoch 91, Train Loss:4.14, Valid_Loss:4.20, Valid_Accuracy:81.71% 
lr: 1.4253704615384424e-06Epoch 92, Train Loss:4.37, Valid_Loss:7.64, Valid_Accuracy:82.72% 
lr: 1.4407549230768167e-06Epoch 93, Train Loss:3.44, Valid_Loss:6.17, Valid_Accuracy:84.06% 
lr: 1.4561393846154133e-06Epoch 94, Train Loss:2.84, Valid_Loss:5.39, Valid_Accuracy:84.23% 
lr: 1.4715238461537876e-06Epoch 95, Train Loss:3.84, Valid_Loss:7.58, Valid_Accuracy:82.55% 
lr: 1.4869083076923843e-06Epoch 96, Train Loss:3.49, Valid_Loss:5.18, Valid_Accuracy:85.40% 
lr: 1.5022927692307586e-06Epoch 97, Train Loss:2.02, Valid_Loss:5.44, Valid_Accuracy:83.89% 
lr: 1.5176772307691331e-06Epoch 98, Train Loss:3.20, Valid_Loss:3.60, Valid_Accuracy:85.40% 
lr: 1.5330616923077295e-06Epoch 99, Train Loss:3.53, Valid_Loss:6.01, Valid_Accuracy:85.23% 
lr: 1.548446153846104e-06Epoch 100, Train Loss:4.30, Valid_Loss:7.04, Valid_Accuracy:83.05% 
lr: 1.5638306153847005e-06Epoch 101, Train Loss:3.39, Valid_Loss:3.92, Valid_Accuracy:85.07% 
lr: 1.579215076923075e-06Epoch 102, Train Loss:3.65, Valid_Loss:6.21, Valid_Accuracy:84.90% 
lr: 1.5945995384614493e-06Epoch 103, Train Loss:2.31, Valid_Loss:4.03, Valid_Accuracy:85.40% 
