lr: [0.001]Epoch 1, Train Loss:8.05, Valid_Loss:5.56, Valid_Accuracy:8.59% 
lr: [0.001]Epoch 2, Train Loss:9.48, Valid_Loss:4.27, Valid_Accuracy:12.88% 
lr: [0.0009772372209558107]Epoch 3, Train Loss:5.04, Valid_Loss:4.09, Valid_Accuracy:13.50% 
lr: [0.0009772372209558107]Epoch 4, Train Loss:7.72, Valid_Loss:3.78, Valid_Accuracy:19.63% 
lr: [0.0009772372209558107]Epoch 5, Train Loss:5.01, Valid_Loss:5.42, Valid_Accuracy:35.58% 
lr: [0.0009549925860214359]Epoch 6, Train Loss:5.95, Valid_Loss:5.93, Valid_Accuracy:34.36% 
lr: [0.0009549925860214359]Epoch 7, Train Loss:2.80, Valid_Loss:2.79, Valid_Accuracy:38.04% 
lr: [0.0009549925860214359]Epoch 8, Train Loss:5.40, Valid_Loss:3.82, Valid_Accuracy:45.40% 
lr: [0.0009332543007969909]Epoch 9, Train Loss:2.85, Valid_Loss:3.88, Valid_Accuracy:44.17% 
lr: [0.0009332543007969909]Epoch 10, Train Loss:3.27, Valid_Loss:2.32, Valid_Accuracy:44.17% 
lr: [0.0009332543007969909]Epoch 11, Train Loss:3.16, Valid_Loss:4.58, Valid_Accuracy:57.67% 
lr: [0.0009120108393559096]Epoch 12, Train Loss:5.40, Valid_Loss:5.78, Valid_Accuracy:53.99% 
lr: [0.0009120108393559096]Epoch 13, Train Loss:2.65, Valid_Loss:4.34, Valid_Accuracy:56.44% 
lr: [0.0009120108393559096]Epoch 14, Train Loss:7.14, Valid_Loss:6.99, Valid_Accuracy:60.12% 
lr: [0.0008912509381337454]Epoch 15, Train Loss:4.87, Valid_Loss:2.92, Valid_Accuracy:60.74% 
lr: [0.0008912509381337454]Epoch 16, Train Loss:4.63, Valid_Loss:3.95, Valid_Accuracy:61.35% 
lr: [0.0008912509381337454]Epoch 17, Train Loss:6.50, Valid_Loss:6.62, Valid_Accuracy:68.10% 
lr: [0.0008709635899560805]Epoch 18, Train Loss:5.93, Valid_Loss:1.67, Valid_Accuracy:62.58% 
lr: [0.0008709635899560805]Epoch 19, Train Loss:4.49, Valid_Loss:2.89, Valid_Accuracy:68.10% 
lr: [0.0008709635899560805]Epoch 20, Train Loss:2.66, Valid_Loss:1.57, Valid_Accuracy:69.33% 
lr: [0.0008511380382023764]Epoch 21, Train Loss:0.94, Valid_Loss:3.16, Valid_Accuracy:69.94% 
